srn,facility_name,address_full,epa_class,lat,long,geometry,facility_name_title
P1317,"MEADOWBROOK AG-GRID, LLC","333 E Tupper Lake, Lake Odessa, MI 48849",,42.7856394,-85.0678708,"[-85.0678708, 42.7856394]","Meadowbrook Ag-Grid, LLC"
P1318,LAYLINE OIL & GAS LLC,"Section 12 T20N R06W, Leota, MI 49665",,44.1071769,-85.1479364,"[-85.14793639999999, 44.1071769]",Layline Oil & Gas LLC
P1319,ARBOR CREMATION SERVICES INC,"1366 Teft Court, Saline, MI 48176",,42.1908005,-83.7589873,"[-83.7589873, 42.19080049999999]",Arbor Cremation Services Inc
P1320,ANAND NVH NORTH AMERICA INC,"2093 Reek Road, Imlay City, MI 48444",,43.0043646,-83.0664253,"[-83.06642529999999, 43.0043646]",Anand Nvh North America Inc
P1321,NORTHERN MICHIGAN CREMATORY INC,"2325 Grey Wolf, Gaylord, MI 49735",,45.004509,-84.716443,"[-84.716443, 45.004509]",Northern Michigan Crematory Inc
P1322,TORE CORP DBA ELITE CRUSHING,"37500 Northline Road, Romulus, MI 48174",,42.211381,-83.407897,"[-83.40789699999999, 42.211381]",Tore Corp DBA Elite Crushing
P1327,CAVEMAN CRUSHING & RECYCLING,"37270 Van Born Road, Van Buren Twp, MI 48184",,42.267269,-83.404166,"[-83.40416599999999, 42.267269]",Caveman Crushing & Recycling
P1328,UNIBAND USA LLC,"2500 Turner Ave NW, Walker, MI 49544",,43.0093601,-85.6814291,"[-85.6814291, 43.00936009999999]",Uniband USA LLC
P1329,MURRAY PAINTING COMPANY,"6078 Hackett Road, Freeland, MI 48623",SM OPT OUT,43.4958733,-84.0710406,"[-84.07104059999999, 43.4958733]",Murray Painting Company
P1330,RIM HOLDINGS LLC DBA MHR INC,"78 Veterans Drive, Holland, MI 49423",,42.7575377,-86.1020383,"[-86.10203829999999, 42.7575377]",Rim Holdings LLC DBA Mhr Inc
P1331,"GRAPHEX MICHIGAN I, LLC","21445 Hoover Road, Warren, MI 48089",,42.4541072,-83.0090293,"[-83.0090293, 42.4541072]","Graphex Michigan I, LLC"
P1332,COLD-LINK LOGISTICS HOLLAND LLC,"1870 Transport Land, Holland, MI 49423",,42.735196,-86.118302,"[-86.118302, 42.73519599999999]",Cold-Link Logistics Holland LLC
P1334,"WALMART STORES EAST, LP SUPCENTER #1540","207 73Rd Street, South Haven, MI 49090",,42.4061493,-86.2481096,"[-86.24810959999999, 42.4061493]","Walmart Stores East, Lp Supcenter #1540"
P1335,"WALMART STORES EAST, LP SUPERCENTER #2872","10562 Belleville Road, Belleville, MI 48111",,42.2257946,-83.4876912,"[-83.4876912, 42.2257946]","Walmart Stores East, Lp Supercenter #2872"
P1336,"WALMART STORES EAST, LP SUPERCENTER #5872","7000 E Michigan Ave, Saline, MI 48716",,42.1888763,-83.7348554,"[-83.7348554, 42.1888763]","Walmart Stores East, Lp Supercenter #5872"
P1337,"WALMART STORES EAST, LP SUPERCENTER #5842","14900 Dix Toledo Road, Southgate, MI 48195",,42.2014355,-83.2107774,"[-83.2107774, 42.2014355]","Walmart Stores East, Lp Supercenter #5842"
P1339,SARGENT DOCKS & TERMINAL,"1701 1St Street, Saginaw, MI 48601",,43.4486691,-83.9329429,"[-83.9329429, 43.4486691]",Sargent Docks & Terminal
P1340,ML CHARTIER AGGREGATE LLC,"20920 East Street, Southfield, MI 48033",,42.4451262,-83.3036047,"[-83.3036047, 42.4451262]",Ml Chartier Aggregate LLC
P1341,MODINEER COMPANY LLC,"2100 W Chicago Road, Niles, MI 49120",,41.806389,-86.296085,"[-86.29608499999999, 41.806389]",Modineer Company LLC
P1342,"ROBBIN HARSH EXCAVATING, INC","3886 E Surrey Road, Clare, MI 48617",,43.856121,-84.770932,"[-84.770932, 43.85612099999999]","Robbin Harsh Excavating, Inc"
P1343,"BODDY CONSTRUCTION COMPANY, INC","3741 Dove Road, Port Huron, MI 48060",,42.9507163,-82.4750219,"[-82.4750219, 42.9507163]","Boddy Construction Company, Inc"
P1344,VERIZON BUSINESS,"4401 Stecker Road, Dearborn, MI 48021",,42.321627,-83.1513735,"[-83.15137349999999, 42.32162700000001]",Verizon Business
P1346,BLACK GOLD HOLDINGS LLC,"4237 Dorr Commerce, Wayland, MI 49438",,42.7268466,-85.6797442,"[-85.6797442, 42.72684659999999]",Black Gold Holdings LLC
P1348,KOENIG MATERIALS LLC,"1955 Lakeville Road, Oxford, MI 48371",,42.8268713,-83.2288701,"[-83.2288701, 42.8268713]",Koenig Materials LLC
P1350,TECNOFORM USA INC,"4999 36Th Street Se, Grand Rapids, MI 49512",,42.8994224,-85.5436861,"[-85.5436861, 42.8994224]",Tecnoform USA Inc
P1351,STRUCTURAL CONCEPTS,"5566 Grand Haven, Muskegon, MI 49441",,43.1514464,-86.2199391,"[-86.21993909999999, 43.1514464]",Structural Concepts
P1352,LION LABS LTD,"4800 N Grand River, Lansing, MI 48906",,42.76944,-84.595178,"[-84.59517799999999, 42.76944]",Lion Labs Ltd
P1353,UNIFIRST CORPORATION,"9951 Inkster Road, Taylor, MI 48180",,42.2330368,-83.3072952,"[-83.3072952, 42.2330368]",Unifirst Corporation
P1354,BENZIE AREA CREMATORY INC,"5328 West First, Ludington, MI 49431",,43.9488189,-86.4099663,"[-86.4099663, 43.94881890000001]",Benzie Area Crematory Inc
P1360,BELL SITE DEVELOPMENT,"5100 Hudson Road, Waterford, MI 48329",,42.683781,-83.389155,"[-83.389155, 42.683781]",Bell Site Development
P1361,NATRON ENERGY INC,"70 W 84Th Street, Holland, MI 49423",,42.7918074,-85.9900405,"[-85.9900405, 42.7918074]",Natron Energy Inc
P1362,KLETT RECYCLE,"6900 E Paris, Caledonia, MI 49316",,42.8396713,-85.5655641,"[-85.5655641, 42.8396713]",Klett Recycle
P1364,BRANDENBURG INDUSTRIAL SERVICE COMPANY,"301 Spring Street, East Jordan, MI 49727",,45.1556277,-85.1286348,"[-85.1286348, 45.1556277]",Brandenburg Industrial Service Company
P1365,GREAT LAKES AGGREGATES LLC,"5699 Ready Road, S Rockwood, MI 48179",,42.0556999,-83.2753038,"[-83.2753038, 42.0556999]",Great Lakes Aggregates LLC
P1368,GRAND RAPIDS GRAVEL COMPANY,"2104 Bowes Road Se, Lowell, MI 49331",,42.9276837,-85.3664081,"[-85.3664081, 42.9276837]",Grand Rapids Gravel Company
P1369,OATSVALL CONSTRUCTION LLC,"500 W Us 12, Galien, MI 49113",,41.7959705,-86.4661778,"[-86.4661778, 41.7959705]",Oatsvall Construction LLC
P1370,M & M EXCAVATING CO INC,"17 Old State Road, Gaylord, MI 49735",,44.9156956,-84.6938742,"[-84.6938742, 44.9156956]",M & M Excavating Co Inc
P1371,UNIVERSAL CASKET COMPANY,"17664 Chain Lake, Cassopolis, MI 49031",,41.860664,-85.907409,"[-85.90740900000002, 41.860664]",Universal Casket Company
P1372,BIO-MED LLC,"256 Executive Drive, Troy, MI 48083",,42.535525,-83.0984966,"[-83.09849659999999, 42.535525]",Bio-Med LLC
P1384,RYANS HUBBELL AUTO PARTS,"9143 Hubbell Street, Detroit, MI 48228",,42.3612806,-83.187635,"[-83.187635, 42.3612806]",Ryans Hubbell Auto Parts
P1385,"ALL AGGREAGATES, INC","8778 Glovers Lake, Bear Lake, MI 49614",,44.492148,-86.123935,"[-86.123935, 44.492148]","All Aggreagates, Inc"
P1389,"MICHIGAN MATERIALS & AGGREGATE CO, STONECO OF MI","6837 Scofield Road, Maybee, MI 48160",,42.0208457,-83.4972523,"[-83.4972523, 42.0208457]","Michigan Materials & Aggregate Co, Stoneco of Mi"
P1390,RECLAIMED AGGREGATE INC DBA L & L AGGREGATES,"6153 Aurelius Rd, Lansing, MI 48912",,42.667813,-84.5228345,"[-84.52283450000002, 42.667813]",Reclaimed Aggregate Inc DBA L & L Aggregates
P1392,ANGLIN CIVIL,"9601 Groh Road, Grosse Ile, MI 48138",,42.1066066,-83.1640626,"[-83.1640626, 42.1066066]",Anglin Civil
P1394,BROW CRUSHING INCORPORATED,"1564 West Storey, Sault S Marie, MI 49783",,46.4670811,-84.3552299,"[-84.3552299, 46.46708109999999]",Brow Crushing Incorporated
P0118,RAPID PACKAGING CORP,"5151 52Nd St, Grand Rapids, MI 49512",MINOR,42.87012709,-85.54013562,"[-85.54013562, 42.87012709]",Rapid Packaging Corp
P0805,"PRECISE FINISHING SYSTEMS, INC.","1650 N Burkhart Road, Howell, MI 48855",MINOR,42.62360996,-83.99307707,"[-83.99307707333712, 42.62360996]","Precise Finishing Systems, Inc."
N7621,UNILOCK INC,"12591 Emerson Dr, Brighton, MI 48116",MINOR,42.50196881,-83.69515582,"[-83.6951558156692, 42.50196881]",Unilock Inc
N0931,SUMMIT INDUSTRIAL COATINGS,"2200 East Empire Avenue, Benton Harbor, MI 49022",MINOR,42.10055088,-86.40498846,"[-86.40498845985832, 42.10055088]",Summit Industrial Coatings
P0361,ANDRONACO INDUSTRIES,"4855 Broadmoor Avenue, Kentwood, MI 49512",MINOR,42.87565007,-85.56069532,"[-85.56069531565895, 42.87565007]",Andronaco Industries
P0105,MACKENZIE RECYCLING CORP,"2810 Chamberlain  Road, Lansing, MI 48906",MINOR,42.78695238,-84.57370789,"[-84.57370789205467, 42.78695238]",Mackenzie Recycling Corp
P1256,DE SAEGHER ENERGY LLC,"8068 W Buchanan Road, Middleton, MI 48856",,43.24507463,-84.76008652,"[-84.76008651749797, 43.24507463]",De Saegher Energy LLC
P1231,"BEACON RECYCLING, INC.","1241 E. Keating Avenue, Muskegon, MI 49442",,43.21576748,-86.21379779,"[-86.21379778645144, 43.21576748]","Beacon Recycling, Inc."
N8276,TUSCOLA ENERGY INC. - MOWERY & BERNIA #1,"SW NE SW SEC 32 T14N R8E, Akron, MI",MINOR,,,,Tuscola Energy Inc. - Mowery & Bernia #1
F9158,FENDT BUILDER'S SUPPLY INC,"22005 Gill Rd, Farmington, MI 48335",MINOR,42.45214648,-83.3860836,"[-83.38608360032802, 42.45214648]",Fendt Builder's Supply Inc
B8878,COOPER FOUNDRY INC.,"8216 Douglas Ave, Kalamazoo, MI 49009",MINOR,42.37977918,-85.60994463,"[-85.60994463, 42.37977918]",Cooper Foundry Inc.
B4734,SHRADER TIRE & OIL CO,"25445 W Outer Dr, Melvindale, MI 48122",MINOR,42.26676356,-83.17190312,"[-83.1719031156756, 42.26676356]",Shrader Tire & Oil Co
N8189,HILDEN OIL CO - HOUSE CRUDE OIL PRODUCTION FAC,T 15 N R 14 W SECTION 18 ISABELLA TWP,MINOR,43.69338415,-84.83092173,"[-84.83092173075546, 43.69338415011208]",Hilden Oil Co - House Crude Oil Production Fac
N2613,MESSINA TRUCKING INC,"3295 Auburn Rd, Shelby Township, MI 48317",MINOR,42.63920363,-83.07895573,"[-83.0789557291585, 42.639203628618134]",Messina Trucking Inc
A5159,INDUCTOHEAT INC.,"32251 N Avis Dr, Madison Heights, MI 48071",MINOR,42.52949238,-83.09535281,"[-83.09535281338385, 42.52949238]",Inductoheat Inc.
N2479,WITZENMANN USA LLC,"1201 Stephenson Hwy, Troy, MI 48083",MINOR,42.54497706,-83.12177746,"[-83.12177745984613, 42.54497706]",Witzenmann USA LLC
P1276,ANGELO LUPPINO INC,"Pit Lane, Bessemer, MI 49911",,46.5134389,-90.0708313,"[-90.0708313, 46.5134389]",Angelo Luppino Inc
P1277,NORTHEAST ASPAHLT INC,"11990 V-25 Road, Rapid River, MI 49878",,45.9847124,-86.9199086,"[-86.9199086, 45.9847124]",Northeast Aspahlt Inc
P1278,NORTHEAST ASPHALT INC,"N13064 Black River , Ironwood, MI 49938",,46.5681423,-90.0889234,"[-90.0889234, 46.5681423]",Northeast Asphalt Inc
P1279,PAYNE AND DOLAN INC,"4080 Us Hwy 2, Iron River, MI 49935",,46.0976614,-88.6762744,"[-88.6762744, 46.0976614]",Payne and Dolan Inc
P1285,MICHIGAN AGGREGATE SUPPLY SYSTEM,"91 Manchester, Highland Park, MI 48203",,42.4082693,-83.0951382,"[-83.0951382, 42.4082693]",Michigan Aggregate Supply System
P1287,ANGELO LUPPINO INC,"Pit Lane, Bessemer, MI 49911",,46.5134389,-90.0708313,"[-90.0708313, 46.5134389]",Angelo Luppino Inc
P1288,"AHERN CONTRACTING, INC","67501 Brian Drive, Ray Twp, MI 48096",,42.794862,-82.968583,"[-82.968583, 42.794862]","Ahern Contracting, Inc"
P1289,DTE ENERGY COMPANY - DOWNTOWN HEADQUARTERS,"1 Energy Plaza, Detroit, MI 48226",,42.3336747,-83.0576575,"[-83.0576575, 42.3336747]",DTE Energy Company - Downtown Headquarters
P1290,AUTO CARE CENTER OF PORT SANILAC,"205 N Ridge Street, Port Sanilac, MI 48469",,43.4358678,-82.5436025,"[-82.54360249999999, 43.4358678]",Auto Care Center of Port Sanilac
P1292,BRIGHTON CREMATION CORPORATION,"2839 E Court Street, Flint, MI 48506",,43.019056,-83.653145,"[-83.653145, 43.019056]",Brighton Cremation Corporation
P1293,ROCK ENTERPRISE INC,"10241 Mckinley Road, Montrose, MI 48457",,43.153087,-83.8674882,"[-83.8674882, 43.153087]",Rock Enterprise Inc
P1294,PRECISION LASER & MFG LLC,"31330 Stephenson , Madison Hts, MI 48071",,42.5232207,-83.1177487,"[-83.11774869999999, 42.5232207]",Precision Laser & Mfg LLC
P1295,JPS 170108 RAY,"Us 2 North On M 64, Marenisco, MI 49911",,47.3957098,-94.7798301,"[-94.7798301, 47.3957098]",Jps 170108 Ray
P1296,ANGELO LAFRATE CONSTRUCTION,"26300 Sherwood , Warren, MI 48901",,42.5144566,-83.0146526,"[-83.01465259999999, 42.5144566]",Angelo Lafrate Construction
P1298,OTTAWA LAKE CO-OP ELEVATOR COMPANY,"474 E Chicago Blvd, Britton, MI 49229",,41.982476,-83.823337,"[-83.823337, 41.982476]",Ottawa Lake Co-Op Elevator Company
P1299,"TRITECH TITANIUM PARTS, LLC","6401 E 7 Mile Road, Detroit, MI 48234",,42.4343689,-83.0373963,"[-83.0373963, 42.4343689]","Tritech Titanium Parts, LLC"
P1300,UP ROCK N REDI MIX,"8586 S Shunk Road, Sault S Marie, MI 49783",MINOR,46.380314,-84.32219,"[-84.32218999999999, 46.380314]",Up Rock N Redi Mix
A0884,VERSO ESCANABA LLC,"7100 County 426 M.5 Road, Escanaba, MI 49829",MAJOR,45.8048081,-87.0947001,"[-87.0947001, 45.8048081]",Verso Escanaba LLC
A5754,AMERICAN IRON & METAL,"Prev Smurfit-Stone Container Enterprises, Ontonagon, MI 49953",MINOR,46.8710525,-89.31403019999999,"[-89.31403019999999, 46.8710525]",American Iron & Metal
A6475,UP PAPER LLC.,"402 West Elk Street, Manistique, MI 49854",MAJOR,45.9614862,-86.2658123,"[-86.2658123, 45.9614862]",Up Paper LLC.
B0965,MCC - NORWAY INC,"512  Ninth Ave, Norway, MI 49870",MINOR,45.7888583,-87.90950389999999,"[-87.90950389999999, 45.7888583]",Mcc - Norway Inc
B1470,NEENAH PAPER - MICHIGAN INC,"501 E Munising Ave, Munising, MI 49862",MAJOR,46.4085677,-86.6455522,"[-86.6455522, 46.4085677]",Neenah Paper - Michigan Inc
B1573,ESCANABA POWER PLANT,"2000  Power Plant  Rd, Escanaba, MI 49829",MINOR,45.7717746,-87.0648235,"[-87.0648235, 45.7717746]",Escanaba Power Plant
B1577,GREDE LLC - IRON MOUNTAIN,"801 S Carpenter Ave, Kingsford, MI 49802",MAJOR,45.798365,-88.06924520000001,"[-88.06924520000001, 45.798365]",Grede LLC - Iron Mountain
B1827,EMPIRE IRON MINING PARTNERSHIP,"Empire Mine Rd, Ishpeming, MI 49849",MAJOR,46.440013,-87.6043137,"[-87.6043137, 46.440013]",Empire Iron Mining Partnership
B1833,MARQUETTE BOARD OF LIGHT & POWER,"400 E Hampton, Marquette, MI 49855",MAJOR,46.531593,-87.3932028,"[-87.3932028, 46.531593]",Marquette Board of Light & Power
B1855,"DUNN PAPER, INC.","144 First Street, Menominee, MI 49858",MINOR,45.098978,-87.597526,"[-87.597526, 45.098978]","Dunn Paper, Inc."
B1856,"GIDDINGS & LEWIS FOUNDRY, L.L.C.","1610 15Th St., Menominee, MI 49858",,45.1135298,-87.62096540000002,"[-87.62096540000002, 45.1135298]","Giddings & Lewis Foundry, L.L.C."
B1966,WHITE PINE ELECTRIC POWER LLC,"29639 Willow Road, White Pine, MI 49971",MAJOR,46.75553,-89.5742099,"[-89.5742099, 46.75553]",White Pine Electric Power LLC
B4204,U P FURNITURE INC,"N14225  Robinson Road 553, Wilson, MI 49896",,45.6264277,-87.3778268,"[-87.3778268, 45.6264277]",U P Furniture Inc
B4260,L'ANSE WARDEN ELECTRIC COMPANY LLC,"157 S Main Street, Lanse, MI 49946",MAJOR,46.7554875,-88.4557825,"[-88.4557825, 46.7554875]",L'Anse Warden Electric Company LLC
B4261,WISCONSIN ELECTRIC POWER COMPANY,"2701 N Lakeshore Boulevard, Marquette, MI 49855",MAJOR,46.5769043,-87.39310309999999,"[-87.39310309999999, 46.5769043]",Wisconsin Electric Power Company
B4885,TILDEN MINING COMPANY  LC,"1 Tilden Mine Road, Ishpeming, MI 49849",MAJOR,46.4885469,-87.6676358,"[-87.6676358, 46.4885469]",Tilden Mining Company  Lc
B6553,UPPER PENINSULA POWER COMPANY - PORTAGE,"16626 Academy / Cemetery Road, South Range, MI 49963",MAJOR,47.0796749,-88.6438619,"[-88.6438619, 47.0796749]",Upper Peninsula Power Company - Portage
B7192,"VERSO QUINNESEC, LLC","W-6791 Us Highway 2, Quinnesec, MI 49876",MAJOR,45.8024181,-87.96349239999999,"[-87.96349239999999, 45.8024181]","Verso Quinnesec, LLC"
N0544,WARM RAIN CORPORATION,"51675 N Industrial Drive, Calumet, MI 49930",MAJOR,47.1665641,-88.5116621,"[-88.5116621, 47.1665641]",Warm Rain Corporation
N0780,LOUISIANA-PACIFIC CORP NEWBERRY PLANT,"7299 N County Road 403, Newberry, MI 49868",MAJOR,46.337758,-85.49403799999999,"[-85.49403799999999, 46.337758]",Louisiana-Pacific Corp Newberry Plant
N1315,LOUISIANA-PACIFIC CORP SAGOLA PLANT,"N8504  Highway M-95, Sagola, MI 49881",MAJOR,46.0384944,-88.0615116,"[-88.0615116, 46.0384944]",Louisiana-Pacific Corp Sagola Plant
N2168,GREAT LAKES GAS TRANSMISSION STATION #7,"400  Great Lakes Rd, Wakefield, MI 49968",MAJOR,46.4408836,-89.8245635,"[-89.8245635, 46.4408836]",Great Lakes Gas Transmission Station #7
N2955,KINROSS CORRECTIONAL FACILITY,"16770 South Watertower Drive, Kincheloe, MI 49788",SM OPT OUT,46.2629149,-84.4677,"[-84.4677, 46.2629149]",Kinross Correctional Facility
N3758,GREAT LAKES GAS TRANSMISSION STATION #10,"Naubinway Road, Naubinway, MI 49762",MAJOR,46.1118919,-85.4470661,"[-85.4470661, 46.1118919]",Great Lakes Gas Transmission Station #10
N3759,GREAT LAKES GAS TRANSMISSION STATION #9,"10888  T-65 Pipeline Rd, Rapid River, MI 49878",MAJOR,45.9408483,-86.9617777,"[-86.9617777, 45.9408483]",Great Lakes Gas Transmission Station #9
N3760,GREAT LAKES GAS TRANSMISSION STATION #8,"151  Oss Rd, Crystal Falls, MI 49920",MAJOR,46.09711600000001,-88.4663674,"[-88.4663674, 46.09711600000001]",Great Lakes Gas Transmission Station #8
A0224,HOLCIM (US) INC. D/B/A LAFARGE ESSEXVILLE TERMINAL,"1601 Saline St, Essexville, MI 48732",MAJOR,43.6165574,-83.8402385,"[-83.8402385, 43.6165574]",Holcim ((US)) Inc. D/B/A Lafarge Essexville Terminal
A4033,"THE DOW CHEMICAL COMPANY U.S.A., MIDLAND","1790 Building, Midland, MI 48674",MEGASITE,43.6039314,-84.2212066,"[-84.2212066, 43.6039314]","The Dow Chemical Company U.S.A., Midland"
A4043,DOW SILICONES CORPORATION,"3901 S Saginaw Rd, Midland, MI 48686",MEGASITE,43.5980995,-84.2077642,"[-84.2077642, 43.5980995]",Dow Silicones Corporation
A6174,GENERAL MOTORS - POWERTRAIN GROUP SAGINAW,"77 W. Center St., Saginaw, MI 48602",MINOR,43.404232,-83.9707899,"[-83.9707899, 43.404232]",General Motors - Powertrain Group Saginaw
A6175,NEXTEER AUTOMOTIVE CORPORATION,"3900 Holland Road, Saginaw, MI 48601",MAJOR,43.4106166,-83.8812603,"[-83.8812603, 43.4106166]",Nexteer Automotive Corporation
A6466,"TTOD LIQUIDATION, INC.","3768 N. Main St., Deckerville, MI 48427",MAJOR,43.533896,-82.735021,"[-82.735021, 43.533896]","Ttod Liquidation, Inc."
B1493,MICHIGAN SUGAR COMPANY - BAY CITY,"2600 S Euclid Ave, Bay City, MI 48706",MAJOR,43.57321109999999,-83.9190899,"[-83.9190899, 43.57321109999999]",Michigan Sugar Company - Bay City
B1991,GM LLC SAGINAW METAL CASTING OPERATIONS,"1629 N. Washington, Saginaw, MI 48601",MAJOR,43.4479024,-83.9203639,"[-83.9203639, 43.4479024]",GM LLC Saginaw Metal Casting Operations
B1993,TRW INTEGRATED CHASSIS SYSTEMS,"2328 E. Genesee Ave., Saginaw, MI 48601",MINOR,43.4097571,-83.9155972,"[-83.9155972, 43.4097571]",Trw Integrated Chassis Systems
B2043,"TPOP, LLC VASSAR FOUNDRY","700 E. Huron Ave., Vassar, MI 48768",MAJOR,43.3690188,-83.5729404,"[-83.5729404, 43.3690188]","Tpop, LLC Vassar Foundry"
B2460,GENERAL MOTORS LLC - BAY CITY,"1001 Woodside Ave., Bay City, MI 48708",SM OPT OUT,43.6068156,-83.87792739999999,"[-83.87792739999999, 43.6068156]",General Motors LLC - Bay City
B2494,"CARMET COMPANY, MATERIALS DIVISION","625 E Soper Rd, Bad Axe, MI 48413",MINOR,43.7956371,-82.990512,"[-82.990512, 43.7956371]","Carmet Company, Materials Division"
B2644,HEMLOCK SEMICONDUCTOR OPERATIONS LLC,"12334  Geddes Rd., Hemlock, MI 48626",MAJOR,43.4337692,-84.16189639999999,"[-84.16189639999999, 43.4337692]",Hemlock Semiconductor Operations LLC
B2815,DTE - ELECTRIC COMPANY HARBOR BEACH POWER PLANT,"755 N. Huron, Harbor Beach, MI 48441",MAJOR,43.85182229999999,-82.6440819,"[-82.6440819, 43.85182229999999]",DTE - Electric Company Harbor Beach Power Plant
B2840,CONSUMERS ENERGY D.E. KARN FACILITY,"2742 N. Weadock Hwy., Essexville, MI 48732",MAJOR,43.6359118,-83.8359227,"[-83.8359227, 43.6359118]",Consumers Energy D.E. Karn Facility
B2873,MICHIGAN SUGAR COMPANY  -  SEBEWAING FACTORY,"763 N Beck St, Sebewaing, MI 48759",MAJOR,43.740324,-83.44711300000002,"[-83.44711300000002, 43.740324]",Michigan Sugar Company  -  Sebewaing Factory
B2874,MICHIGAN SUGAR COMPANY - CARROLLTON FACTORY,"341 Sugar, Carrollton, MI 48724",MINOR,43.4555337,-83.93650679999999,"[-83.93650679999999, 43.4555337]",Michigan Sugar Company - Carrollton Factory
B2875,"MICHIGAN SUGAR COMPANY, CARO FACTORY","819 Peninsular St., Caro, MI 48723",MAJOR,43.4812982,-83.3958054,"[-83.3958054, 43.4812982]","Michigan Sugar Company, Caro Factory"
B2876,"MICHIGAN SUGAR COMPANY, CROSWELL FACTORY","159 S Howard Ave, Croswell, MI 48422",MAJOR,43.2653512,-82.6195305,"[-82.6195305, 43.2653512]","Michigan Sugar Company, Croswell Factory"
B3606,"DELPHI SAGINAW STEERING SYSTEMS, PLANT 2","1400  Holmes St., Saginaw, MI 48602",,43.400575,-83.9780332,"[-83.9780332, 43.400575]","Delphi Saginaw Steering Systems, Plant 2"
B6527,MIDLAND COGENERATION VENTURE,"100 E. Progress Place, Midland, MI 48640",MAJOR,43.5869829,-84.246849,"[-84.246849, 43.5869829]",Midland Cogeneration Venture
B7013,"HURON CASTING, INC (BLUE DIAMOND STEEL CASTING)","7050  Hartley St. & 125 Sturm Rd, Pigeon, MI 48755",MAJOR,43.8277411,-83.2594385,"[-83.2594385, 43.8277411]","Huron Casting, Inc (Blue Diamond Steel Casting)"
B7748,TUSCOLA MINERALS CO,"4702  Saginaw Rd, Vassar, MI 48768",MINOR,43.3636127,-83.5290291,"[-83.5290291, 43.3636127]",Tuscola Minerals Co
