facility_name,srn,epa_class,properties.address_full,lat,long,geometry.coordinates,properties.violationCount,2018,2019,2020,2021,2022,2023,type,geometry.type,properties.group_id,properties.group_name,properties.color,properties.most_recent_vn,properties.violation_article,properties.facility_name,properties.srn
DAPCO INDUSTRIES,N3267,SM OPT OUT,"2500 Bishop Circle East, Dexter, MI 48130",42.3260948,-83.87678869999999,"[-83.87678869999999,42.3260948]",2,0.0,0.0,0.0,0.0,1.0,1.0,Feature,Point,3,Synthetic Minor Source,#FF5400,2023-05-01,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N3267/N3267_VN_20230501.pdf' target='_blank'>May 1, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Degreaser has a 9.5 tons per year synthetic minor emission limit based on a 12-month rolling time period. Records show that this limit has been exceeded on 7 separate months over the last 4 years with a maximum rolling average of 9.9 tons recorded.</li><li>The facility exceeded their synthetic minor emission limit for hazardous air pollutants (HAPs).</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N3267/N3267_VN_20221116.pdf' target='_blank'>November 16, 2022</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>No Permit to Install. Note that distance to the nearest residential home is 250 feet so would not qualify for a General PTI permit.</li><li>40-foot-tall stack required for general ventilation is missing.</li><li>Room housing vapor degreaser had open bay door to outside and open plastic curtains to rest of plant. Company not maintaining operating conditions followed when required velometer measurements are being taken.</li><li>Vapor degreaser has no cover.</li><li>Vapor degreaser is powered off on weekends often with no maintenance occurring.</li><li>No Permit to Install. Seven metal grinding machines that exhaust to a common stack that lack a pre-cleaner/fabric filter are being exhausted outside resulting in roof staining. Permit exemptions don’t apply since no control.</li></ul></p><br>",DAPCO Industries,N3267
DEXTER FASTENER TECHNOLOGIES INC.,N7596,MINOR,"2110 Bishop Circle East, Dexter, MI 48130",42.3201419,-83.87728560000001,"[-83.87728560000001,42.3201419]",1,0.0,0.0,0.0,0.0,0.0,1.0,Feature,Point,4,True Minor Source,#FFBD00,2023-04-26,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N7596/N7596_VN_20230426.pdf' target='_blank'>April 26, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>No Permit to Install. Company has been operating the heat treatment lines under the Rule 290 permit exemption. However, heat treatment can produce hexavalent chromium emissions, which would make this process ineligible for R 290 permit exemption. It was also noted during the inspection that the furnace exhaust stacks appear to have rain caps, which are not consistent with good air pollution control practices.</li></ul></p><br>",Dexter Fastener Technologies Inc.,N7596
DEPOR INDUSTRIES,N7599,SM OPT OUT,"1902 Northwood, Troy, MI 48084",42.5525354,-83.1627226,"[-83.1627226,42.5525354]",1,0.0,0.0,0.0,0.0,0.0,1.0,Feature,Point,3,Synthetic Minor Source,#FF5400,2023-04-25,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N7599/N7599_VN_20230425.pdf' target='_blank'>April 25, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Depor Industries failed to maintain temperature data records in a satisfactory manner. A single paper chart was used for recording temperatures for the burnoff oven for multiple weeks from December 2022 to March 2023. Additionally, during the inspection the burnoff oven was observed operating within a temperature range of 1350°F- 1370°F, below the minimum temperature of 1400°F, and according to maintenance staff at the facility, this had been a common occurrence.</li></ul></p><br>",Depor Industries,N7599
CHAMPAGNE & MARX EXCAVATING  INC,N5531,MINOR,"Champagne & Marx, Michigan Rd Pit, Saginaw, MI 48604",43.5010095,-83.9443883,"[-83.9443883,43.5010095]",1,0.0,0.0,0.0,0.0,0.0,1.0,Feature,Point,4,True Minor Source,#FFBD00,2023-04-19,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N5531/N5531_VN_20230419.pdf' target='_blank'>April 19, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><span class='location'><span style='font-weight:700'>Location:</span> the junction of I-69 and Wilder Road, Lapeer, Michigan</span></p><p><ul><li>A water spray system was not installed on the primary crusher.</li><li>The fugitive dust plan was not being followed for unpaved site roadways.</li></ul></p><br>",Champagne & Marx Excavating  Inc,N5531
TEMPERFORM LLC,B7357,SM OPT OUT,"25425 Trans X, Novi, MI 48375",42.47449590000001,-83.4722819,"[-83.4722819,42.47449590000001]",4,0.0,1.0,1.0,0.0,1.0,1.0,Feature,Point,3,Synthetic Minor Source,#FF5400,2023-04-18,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/B7357/B7357_VN_20230418.pdf' target='_blank'>April 18, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>The FG-SCRUBBERS1/2 process units (furnaces, melting, pouring, sand processing, etc.) were operating while two corresponding scrubbers were shutdown.β</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B7357/B7357_VN_20220915.pdf' target='_blank'>September 15, 2022</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Failure to maintain a minimum afterburner temperature of 1350 degrees F while processing sand in the thermal reclamation unit.</li><li>Operation of emission units associated with FGSCRUBBERS1/2, while one or both of the scrubbers were not operating.</li><li>Failure to install and operate liquid flow monitoring devices for each scrubber to record the flow rates of effluent, make-up, and recirculation water on an hourly basis.</li><li>Failure to install and operate pressure drop monitoring devices to record pressure drop for each scrubber on a continuous basis.</li><li>Failure to submit semiannual compliance reports for the time period of January 1, 2020, through July 1, 2022.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B7357/B7357_VN_20201020.pdf' target='_blank'>October 20, 2020</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Trans-X Road sidewalk, adjacent to Main Street Village Singh Apartments about 12:20 through 3:50 hours: (52 °F and 4 mph WSW wind) almost continuous strong odor was detected.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/B7357/B7357_VN_20190521.pdf' target='_blank'>May 21, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Please see document.</li><li>Scrubber #1 was not operating constantly between 275 - 425 gpm per the manufacturer's specifications and the facility's Malfunction Abatement Plan. Scrubber #2 has not been operating while the process is operatinQ.</li><li>Static pressure drop monitoring device was not operating in a satisfactory manner.</li></ul></p><br>",Temperform LLC,B7357
TRIBAR TECHNOLOGIES INC. (PLANT 1),N1581,SM OPT OUT,"30517 Andersen Court, Wixom, MI 48393",42.51781039999999,-83.51943109999999,"[-83.51943109999999,42.51781039999999]",6,0.0,0.0,0.0,1.0,3.0,2.0,Feature,Point,3,Synthetic Minor Source,#FF5400,2023-08-04,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N1581/N1581_VN_20230804.pdf' target='_blank'>August 4, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Facility exceeded the Automotive Air-dried Prime- exterior plastic parts coating (black/red) VOC limit of 5.52 lb/gallon (calendar day- volume weighted average) in the records reviewed.</li><li>Facility exceeded the Automotive Air-dried Basecoat interior/exterior plastic parts coating (black/red) VOC limit of 5.75 lb/gallon (calendar day-volume weighted average) in the records reviewed.</li><li>Facility exceeded the Automotive Air-dried Basecoat interior/exterior plastic parts coating (non-black/red) VOC limit of 5.0 lb/gallon (calendar day-volume weighted average) in the records reviewed.</li><li>Facility exceeded the Automotive Air-dried Clearcoat interior/exterior plastic parts coating (non-black/red) VOC limit of 4.5 lb/gallon (calendar day-volume weighted average) in the records reviewed.</li><li>Facility is not continuously monitoring the temperature in the cure oven portions of FG- COATLINE. Data logger has been broken since June 23, 2023.</li><li>Records provided by facility before inspection on July 7, 2023 contained errors in the recordkeeping (including non- compliance). Spreadsheet had to be corrected to be reviewed.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N1581/N1581_VN_20230418.pdf' target='_blank'>April 18, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Failure to submit 2021 air pollution report</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N1581/N1581_VN_20221024.pdf' target='_blank'>October 24, 2022</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Facility was exceeding temperature of 194 °F when air-dried automotive coatings are being cured. During the inspection, a temperature of 207° was observed. During a meeting with Tribar staff Ryan O’Keefe and Darrel Dotson on August 26, 2022, it was indicated this limit may have been exceeded for at least two years.</li><li>Facility has not provided records of the cure oven temperature records for the previous six months, which were requested multiple times. AQD is now requesting previous two years of cure oven temperature records based on conversation with Tribar staff.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N1581/N1581_VN_20220901.pdf' target='_blank'>September 1, 2022</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Second Violation Notice</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N1581/N1581_VN_20220809.pdf' target='_blank'>August 9, 2022</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Facility was not able to show compliance with the limits in PTI 274-98A.</li><li>Facility was not able to show compliance with the corresponding material limits in PTI 274-98A.</li><li>Facility has not provided records of the cure oven temperature, although the inspector was able to observe the temperature during inspection.</li><li>Facility did not have records of the amount used of HAPs-containing materials, HAP content, or records of individual and aggregate HAP emissions.</li><li>Facility was not able to provide records of daily hours of operation and for each coating, reducer, cleanup, or purge solvent; amount used, VOC content, a daily volume- weighted average, pounds VOC on daily average, or 12-month rolling VOC tons per month.</li><li>Three small cold cleaners were uncovered without parts being handled in the paint mixing room.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N1581/N1581_VN_20210726.pdf' target='_blank'>July 26, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Special Conditions 6 and 7 are content limits for interior prime coatings and exterior base coatings respectively. The VOC content for each coating category is calculated daily and averaged based on the amounts of each coating of those types used that day. Records provided by Tribar show the VOC content limits were exceeded on several occasions.</li><li>The facility was not properly keeping hours of operation for each individual coating booth so the hourly emission limit could not be properly verified.</li></ul></p><br>",Tribar Technologies Inc. (Plant 1),N1581
DECC CO INC,N3751,SM OPT OUT,"1266 Wallen SW, Grand Rapids, MI 49507",42.9390756,-85.6744286,"[-85.6744286,42.9390756]",1,0.0,0.0,0.0,0.0,0.0,1.0,Feature,Point,3,Synthetic Minor Source,#FF5400,2023-04-17,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N3751/N3751_VN_20230417.pdf' target='_blank'>April 17, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Visible emissions observed from oven stack.</li><li>Failure to properly operate burn-off oven afterburner.</li><li>Failure to capture all purge/clean-up solvents in closed containers and dispose of them in an acceptable manner.</li><li>Failure to maintain records of purge/clean-up solvent used and reclaimed.</li><li>Failure to properly calculate Hazardous Air Pollutant (HAP) emissions.</li></ul></p><br>",Decc Co Inc,N3751
AVANCEZ HIGHLAND PARK,P1217,,"1430 E 10 Mile Road, Hazel Park, MI 48030",42.475681,-83.0874226,"[-83.0874226,42.475681]",1,0.0,0.0,0.0,0.0,0.0,1.0,Feature,Point,5,Unknown,#DCDCDC,2023-04-12,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/P1217/P1217_VN_20230412.pdf' target='_blank'>April 12, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>The permittee was unable to provide the record for the minimum cetane index or maximum aromatic content of diesel fuel.</li><li>The permittee did not notify AQD of the co mpletion of the installation and method of operation (certified or non- certified) of EU-ENGINE1 within 30 days after completion of the installation.</li></ul></p><br>",Avancez Highland Park,P1217
WHITEFEATHER LANDFILL,N5985,MAJOR,"2401 E. Whitefeather Road, Pinconning, MI 48650",43.8983129,-83.94941109999999,"[-83.94941109999999,43.8983129]",1,0.0,0.0,0.0,0.0,0.0,1.0,Feature,Point,2,Major Source,#FF0037,2023-04-11,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N5985/N5985_VN_20230411.pdf' target='_blank'>April 11, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Permit condition requires the site to verify formaldehyde emission rates from FGICEENGINES, at a minimum, every five years from the date of the last test. Formaldehyde emissions were last verified March 1, 2018.</li></ul></p><br>",Whitefeather Landfill,N5985
FRITZ ENTERPRISES OF FLINT,N6823,MINOR,"5032 N Dort Hwy, Flint, MI 48085",43.059953,-83.6732419,"[-83.6732419,43.059953]",2,0.0,0.0,0.0,0.0,1.0,1.0,Feature,Point,4,True Minor Source,#FFBD00,2023-04-10,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N6823/N6823_VN_20230410.pdf' target='_blank'>April 10, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Facility malfunction abatement plan (MAP) has not been updated since 2002.</li><li>Wet scrubber does not have a pressure drop gauge.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N6823/N6823_VN_20220829.pdf' target='_blank'>August 29, 2022</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Numerous pieces of paper were witnessed by EGLE MMD staff on April 12, 2022, as being emitted from the wet scrubber stack, with some leaving the site, causing a nuisance. This also indicates that the cyclone and wet scrubber were not being operated in a satisfactory manner.</li><li>Waste materials (papers) were not contained and disposed of in an acceptable</li><li>manner, as witnessed by MMD staff on April 12, 2022.</li><li>The written plan demonstrating compliance with SCs III.1 through III.5 was not maintained, as plan identifies “Excessive Trash” being unacceptable in received items to be processed, yet a large quantity of paper entered the shredder on April 12, 2022.</li><li>The pressure drop gauge and liquid flow indicator for the wet scrubber were found to be inoperable, on April 20, 2022 .</li><li>Some fluff materials were not stored in 3-sided bunkers on April 20, 2022.</li></ul></p><br>",Fritz Enterprises of Flint,N6823
"REAL ALLOY RECYCLING, LLC",N5957,MAJOR,"267 N. Fillmore Rd, Coldwater, MI 49036",41.9221625,-85.0232704,"[-85.0232704,41.9221625]",5,3.0,1.0,0.0,0.0,0.0,1.0,Feature,Point,2,Major Source,#FF0037,2023-04-06,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N5957/N5957_VN_20230406.pdf' target='_blank'>April 6, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><span class='location'><span style='font-weight:700'>Location:</span> 368 West Garfield Avenue</span></p><p><ul><li>The facility is required by 40 CFR Part 63, Subpart RRR to conduct compliance testing no less frequently than every 5 years from the date of the last test. The facility reported that the 5-year deadline for EUIMROTFURN1/2 has lapsed as of 10/12/22.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N5957/N5957_VN_20191010.pdf' target='_blank'>October 10, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><span class='location'><span style='font-weight:700'>Location:</span> 368 W. Garfield Avenue, Coldwater, Michigan</span></p><p><ul><li>Facility reported in the ROP semi-annual deviation report that on 4/29/19 the reverb furnace exceeded the permitted flux limit of 52.8 lbs chlorine/ton of charge due to flux cleaning of the furnace. Actual batch flux addition was 337.4 lbs/ton charged.</li><li>Facility reported in the ROP semi-annual deviation report that Rotary 2 exceeded the permitted flux limit on 2/12/19, 3/11/19, and 4/15/19 due to poor material quality. Exceedances are as follows: permitted 262.0</li><li>lbs chlorine/ton and 334.2 lbs/ton charged, 319.2 lbs/ton charged, and 287.0 lbs/ton charged respectively reported.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N5957/N5957_VN_20180904.pdf' target='_blank'>September 4, 2018</a><img class='icon' src='img/doc-link.svg'/><br><p><span class='location'><span style='font-weight:700'>Location:</span> 368 West Garfield Avenue</span></p><p><ul><li>Nitrogen oxide (NOx) emission limit is 0.115 pounds/ton feed charge. The average tested rate was 0.12 pounds/ton feed charQe.</li><li>Sulfur oxide emission limit is 0.080 pounds/ton feed charge. The average tested rate was O. 15 pounds/ton feed charQe.</li><li>Particulate Matter (PM) 10 emission limit is 0.036 pounds/ton feed charge. The average tested rate was 0.12 pounds/ton feed charQe.</li><li>PM emission limit is 0.023 pounds/ton feed charge. The average tested rate was 0.026 pounds/ton feed charQe.</li><li>NOx emission limit is 0.253 pounds/hour. The average tested rate was 0.38 pounds/ hour.</li><li>PM emission limit is 0.043 pounds/hour. The average tested rate was 0.075 pounds/hour.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N5957/N5957_VN_20180813.pdf' target='_blank'>August 13, 2018</a><img class='icon' src='img/doc-link.svg'/><br><p><span class='location'><span style='font-weight:700'>Location:</span> 368 West Garfield Avenue</span></p><p><ul><li>Average PM10 emission rate during testing was 0.057 pounds/ton feed charge. Emission limitation is 0.034 pounds/ton feed chan::ie.</li><li>Average particulate matter (PM) emission rate during testing was 0.041 pounds/ton feed charge. Emission limitation is 0.012 pounds/ton feed charge.</li><li>Average PM1 O emission rate during testing was 0.74 pounds/ton feed charge. Emission limitation is 0.530 pounds/ton feed charQe.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N5957/N5957_VN_20180601.pdf' target='_blank'>June 1, 2018</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Average NOX emission rate during testing was 0.97 pounds/hour. Emission limitation is 0.171 pounds/hour.</li><li>Average PM10 emission rate during testing was 3.2 pounds/ton feed charge. Emission limitation is 1.144 pounds/ton feed charge.</li><li>Average HCL emission rate during testing was 1.8 pounds/ton feed charge. Emission limitation is 1.648 pounds/ton feed charQe.</li></ul></p><br>","Real Alloy Recycling, LLC",N5957
TRIBAR TECHNOLOGIES INC (PLANT 4),N7809,MINOR,"30540 Beck Rd, Wixom, MI 48393",42.5181575,-83.5162007,"[-83.5162007,42.5181575]",1,0.0,0.0,0.0,0.0,0.0,1.0,Feature,Point,4,True Minor Source,#FFBD00,2023-04-06,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N7809/N7809_VN_20230406.pdf' target='_blank'>April 6, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>As part of the records review, the facility was asked to provide surface tension records for tanks 5, 6, and 50 for December 2021- December 2022. As of April 5, 2023, the records for December 2021 have not been received.</li></ul></p><br>",Tribar Technologies Inc (Plant 4),N7809
BRENT RUN LANDFILL,N5987,MAJOR,"8335 W. Vienna Rd, Montrose, MI 48457",43.176941,-83.8427729,"[-83.8427729,43.176941]",3,0.0,1.0,1.0,0.0,0.0,1.0,Feature,Point,2,Major Source,#FF0037,2023-04-05,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N5987/N5987_VN_20230405.pdf' target='_blank'>April 5, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>BRL failed to submit a revised design plan to the Department for approval at least 90 days before expanding operations to an area not covered by the previously approved design plan under 63.1981(d).</li><li>BRL failed to submit a revised design plan to the Department for approval prior to installing or expanding the gas collection system in a way that is not consistent with the 2004 design plan that was submitted to the AQD under 63.1981(d)</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N5987/N5987_VN_20200220.pdf' target='_blank'>February 20, 2020</a><img class='icon' src='img/doc-link.svg'/><br><p><span class='location'><span style='font-weight:700'>Location:</span> 8247 Vienna Road</span></p><p><ul><li>Sulfur dioxide (SO2) limit of 3.56 lb/hr exceeded</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N5987/N5987_VN_20190102.pdf' target='_blank'>January 2, 2019</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Failure to maintain a waste shipment record with the quantity of asbestos containing waste material in cubic meters (cubic vards).</li><li>Failure to reconcile the discrepancy between the quantity of waste on the waste shipment records and the auantitv actuallv received.</li></ul></p><br>",Brent Run Landfill,N5987
TRIBAR TECHNOLOGIES INC (PLANT 5),P0727,MINOR,"48668 Alpha Drive, Wixom, MI 48393",42.499997,-83.52984099999999,"[-83.52984099999999,42.499997]",6,0.0,0.0,0.0,1.0,2.0,3.0,Feature,Point,4,True Minor Source,#FFBD00,2023-08-04,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/P0727/P0727_VN_20230804.pdf' target='_blank'>August 4, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>The permittee must maintain a surface tension of 35 dynes and under at any time during tank operation. Tank 5 and 6 exceeded this limit multiple times in the time frame checked.</li><li>The permittee must maintain a surface tension of 35 dynes and under at any time during tank operation. Tank 49 exceeded this limit multiple times in the time frame checked.</li><li>The permittee must conduct quarterly inspections on the composite mesh pad system. According to records provided, there were no inspections done on the tank 49 control system between February 13, 2021 and June 20, 2022.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/P0727/P0727_VN_20230404.pdf' target='_blank'>April 4, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Second Violation Notice</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/P0727/P0727_VN_20230208.pdf' target='_blank'>February 8, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Records of inspections and pressure drop readings on packed bed scrubber and composite mesh pad system were requested to be sent after inspection on July 21, 2022. As of February 8, 2023, the records have not been received.</li><li>Records of inspections and pressure drop readings on composite mesh pad system were requested to be sent after inspection on July 21, 2022. As of February 8, 2023, the records have not been received.</li><li>Daily records of the pressure drop readings for each scrubber system in FGSYSTEMS system were requested to be sent after inspection on July 21, 2022. As of February 8, 2023, the records have not been received.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/P0727/P0727_VN_20220901.pdf' target='_blank'>September 1, 2022</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Second Violation Notice</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/P0727/P0727_VN_20220809.pdf' target='_blank'>August 9, 2022</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Pressure drop must be monitored and kept within a set range. Tank 6, etch tank 5, and tank 45 HEPA filter pressure drops were above the range during the inspection.</li><li>The permittee must maintain a surface tension of 35 dynes and under at any time during tank operation. Tank 6 exceeded this limit multiple times in the time frame checked.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/P0727/P0727_VN_20210909.pdf' target='_blank'>September 9, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>The condition requires the permittee to maintain a surface tension of 35 dynes/cm and under for tanks 5 and 6 in EUSYSTEM2. The surface tension records provided showed that the limit was exceeded multiple times between January 2019 and July 2021.</li><li>The facility must operate the controls in FGSYSTEMS in a satisfactory manner. This includes the pressure drops of the controls being monitored and being within a set range. The pressure drop records provided show a number of exceedances of the set range.</li></ul></p><br>",Tribar Technologies Inc (Plant 5),P0727
HARBOR FOAM,N7754,MAJOR,"2950 Prairie SW, Grandville, MI 49418",42.9053698,-85.73838150000002,"[-85.73838150000002,42.9053698]",1,0.0,0.0,0.0,0.0,0.0,1.0,Feature,Point,2,Major Source,#FF0037,2023-03-31,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N7754/N7754_VN_20230331.pdf' target='_blank'>March 31, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Exceeded 139.8 tons per year Volatile Organic Compounds (VOC) limit.</li></ul></p><br>",Harbor Foam,N7754
"QUALITY ROASTING, LLC",P1000,MINOR,"135 S. Bradleyville Road, Reese, MI 48001",43.492104,-83.6214363,"[-83.6214363,43.492104]",3,0.0,0.0,0.0,2.0,0.0,1.0,Feature,Point,4,True Minor Source,#FFBD00,2023-03-30,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/P1000/P1000_VN_20230330.pdf' target='_blank'>March 30, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Installed an Eagle 4 roaster without permit</li><li>Installed a second cyclone, fan and stack</li><li>Installed 10 silo loadout operation without permit</li><li>Exceeded throughput limit: 171 Mill # or more since June 2022 vs limit of 156 Mill # per year</li><li>Exceeded throughput limit: 19.59 Mill # or more since May 2022 vs limit of 18.72 Mill # per year</li><li>12 month rolling time period records not kept</li><li>Visible emissions records not kept</li><li>Fugitive dust plan records not kept</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/P1000/P1000_VN_20210720.pdf' target='_blank'>July 20, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Stack test results higher than PM limit - 5.9 pph vs 2.16 ooh</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/P1000/P1000_VN_20210429.pdf' target='_blank'>April 29, 2021</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Stack testing deadline of March 31, 2021 was not met.</li></ul></p><br>","Quality Roasting, LLC",P1000
CROWN GROUP SHELBY TWP PLANT,N7426,MINOR,"12020 Shelby Tech Dr, Shelby Twp, MI 48315",42.6611121,-82.9762091,"[-82.9762091,42.6611121]",3,1.0,0.0,1.0,0.0,0.0,1.0,Feature,Point,4,True Minor Source,#FFBD00,2023-03-28,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N7426/N7426_VN_20230328.pdf' target='_blank'>March 28, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>The Crown Group failed to maintain temperature data records in a satisfactory manner. Temperature data records requested during the inspection in June 2022 were found to be corrupt. Additionally, records were found to be corrupt for several months from 2021 through 2023. The Crown Group was given time to send the data logger to the manufacturer in an attempt to retrieve the requested data, however this attempt was unsuccessful.</li><li>The facility had previously operated under the Rule 290 exemption for their E-Coat coating. Upon further review of the ingredients listed in the Safety Data Sheet (SDS) for their E- Coat coating, there is an ingredient (bis(2-(2-butoxyethoxy) methane) whose estimated emissions, based on the lowest recorded E-Coat monthly usage from 2021-2023, exceed the 20 lbs/month limit stated in Rule 290(2)(a)(ii)(a). Thus, the E- Coat process is no longer exempt and is in violation of Rule 201.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N7426/N7426_VN_20200928.pdf' target='_blank'>September 28, 2020</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>At the time of inspection, the permittee did not have a device installed to record the temperatures of the primary and secondary chambers of the burn-off oven.</li><li>The permittee was required to install a device to record the temperature of the burn-off oven by February 1, 2019. The facility did not meet this deadline.</li></ul></p><br><br><a href='https://www.egle.state.mi.us/aps/downloads/SRN/N7426/N7426_VN_20180516.pdf' target='_blank'>May 16, 2018</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>Installation of equipment/process without first obtaining a permit to install.</li></ul></p><br>",Crown Group Shelby Twp Plant,N7426
FOREST LAWN LANDFILL,N2407,MAJOR,"8230 W Forest Lawn Road, Three Oaks, MI 49128",41.7752452,-86.652568,"[-86.652568,41.7752452]",1,0.0,0.0,0.0,0.0,0.0,1.0,Feature,Point,2,Major Source,#FF0037,2023-03-27,"<a href='https://www.egle.state.mi.us/aps/downloads/SRN/N2407/N2407_VN_20230327.pdf' target='_blank'>March 27, 2023</a><img class='icon' src='img/doc-link.svg'/><br><p><ul><li>The facility didn't verify visible emissions, the net heating value, and the exit velocity from the open flare within 180 days of permit re-issuance. The Special Condition was included in the ROP that was re-issued on July 19, 2022 so it would’ve needed to be completed by approximately January 19, 2023.</li></ul></p><br>",Forest Lawn Landfill,N2407
